nProcesso,agrupamento,anoLetivo,ano,escalao,dataNascimento,genero,nacionalidade,linguaMaterna,anoEscMae,distrito,class1P_ingles,class1P_ling_estrang,class1P_portugues,class1P_matematica,class1P_ed_fis,class1P_art_tecn,class1P_cienc_fis_nat,class1P_cienc_soc_huma,class1P_avg,class2P_ingles,class2P_ling_estrang,class2P_portugues,class2P_matematica,class2P_ed_fis,class2P_art_tecn,class2P_cienc_fis_nat,class2P_cienc_soc_huma,class2P_avg,class3P_ingles,class3P_ling_estrang,class3P_portugues,class3P_matematica,class3P_ed_fis,class3P_art_tecn,class3P_cienc_fis_nat,class3P_cienc_soc_huma,class3P_avg,negative_class_ratio_1P,negative_class_ratio_2P,negative_class_ratio_3P,negative_class_ratio_nuclear_1P,negative_class_ratio_not_nuclear_1P,negative_class_ratio_nuclear_2P,negative_class_ratio_not_nuclear_2P,negative_class_ratio_nuclear_3P,negative_class_ratio_not_nuclear_3P,nFaltas_J_total_ingles,nFaltas_J_total_ling_estrang,nFaltas_J_total_matematica,nFaltas_J_total_portugues,nFaltas_J_total_ed_fis,nFaltas_J_total_art_tecn,nFaltas_J_total_cienc_fis_nat,nFaltas_J_total_cienc_soc_huma,nFaltas_J_total,nFaltas_I_total_ingles,nFaltas_I_total_ling_estrang,nFaltas_I_total_matematica,nFaltas_I_total_portugues,nFaltas_I_total_ed_fis,nFaltas_I_total_art_tecn,nFaltas_I_total_cienc_fis_nat,nFaltas_I_total_cienc_soc_huma,nFaltas_I_total,nFaltas_total,per_miss_J_total_ingles,per_miss_J_total_ling_estrang,per_miss_J_total_matematica,per_miss_J_total_portugues,per_miss_J_total_ed_fis,per_miss_J_total_art_tecn,per_miss_J_total_cienc_fis_nat,per_miss_J_total_cienc_soc_huma,per_miss_J_total,per_miss_I_total_ingles,per_miss_I_total_ling_estrang,per_miss_I_total_matematica,per_miss_I_total_portugues,per_miss_I_total_ed_fis,per_miss_I_total_art_tecn,per_miss_I_total_cienc_fis_nat,per_miss_I_total_cienc_soc_huma,per_miss_I_total,per_miss_total,distrito_agrup,teip_agrup,baixa_densidade_agrup
31,A49,2017/2018,7,3,102026,Feminino,Portugal,Portugal,Secundário,Porto,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.3,3.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,2.2,5.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,3.45,0.2,0.2,0.09090909090909091,0.5,0.125,1.0,0.0,0.5,0.0,4.0,12.0,12.0,11.0,2.0,9.0,17.0,4.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.031914893617021274,0.14516129032258066,0.057692307692307696,0.052884615384615384,0.015957446808510637,0.07180851063829788,0.06818181818181818,0.019230769230769232,0.46283165187592096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46283165187592096,Porto,0,0
32,A49,2017/2018,7,3,11978,Masculino,Portugal,Portugal,Básico (2º ciclo),Porto,2.0,2.0,1.0,1.0,3.0,5,2.0,2.5,2.85,2.0,4.0,1.0,2.0,3.0,5.0,3.0,3.5,2.95,2.0,2.0,1.0,3.0,4.0,3.5,4.0,3.0,3.25,0.4,0.3,0.09090909090909091,1.0,0.25,0.5,0.25,0.5,0.0,3.0,5.0,9.0,0.0,1.0,0.0,7.0,7.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,35.0,0.023936170212765957,0.06048387096774194,0.04326923076923077,0.0,0.007978723404255319,0.0,0.02807486631016043,0.03365384615384615,0.19739670781800056,0.0,0.0,0.004807692307692308,0.004807692307692308,0.0,0.0,0.004010695187165776,0.0,0.013626079802550392,0.21102278762055096,Porto,0,0
33,A49,2017/2018,7,3,52010,Feminino,Portugal,Portugal,Formação Desconhecida,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,16.0,16.0,8.0,8.0,13.0,17.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023936170212765957,0.036290322580645164,0.07692307692307693,0.07692307692307693,0.06382978723404255,0.06382978723404255,0.05213903743315508,0.08173076923076923,0.4756020277715744,0.4756020277715744,Porto,0,0
34,A49,2017/2018,7,2,42028,Feminino,Portugal,Portugal,Básico (2º ciclo),Porto,3.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,4.5,4.25,5,4.0,5.0,5.0,3.0,4.0,4.0,4.5,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.004807692307692308,0.015957446808510637,0.015957446808510637,0.004010695187165776,0.0,0.04073328111187935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04073328111187935,Porto,0,0
35,A49,2017/2018,7,3,71981,Feminino,Portugal,Portugal,Licenciatura,Porto,5.0,5.0,3.0,4.0,3.0,4.0,5,4.5,3.3,4.0,5,4.0,4.0,4.0,4.0,5.0,5.0,3.5,3.0,4.0,5.0,4.0,3.0,5.0,5,5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.015957446808510637,0.024193548387096774,0.004807692307692308,0.004807692307692308,0.015957446808510637,0.015957446808510637,0.016042780748663103,0.009615384615384616,0.10733943879206104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10733943879206104,Porto,0,0
36,A49,2017/2018,7,3,91992,Masculino,Portugal,Portugal,Licenciatura,Porto,4.0,5.0,3.0,4.0,3.0,5.0,4.5,4.5,5,4.0,5,3.0,4.0,3.0,3.0,4.5,5.0,3.45,3.0,4.0,5.0,4.0,3.0,3.5,5,5.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.015957446808510637,0.012096774193548387,0.009615384615384616,0.0,0.007978723404255319,0.015957446808510637,0.03208556149732621,0.009615384615384616,0.10330672194292043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10330672194292043,Porto,0,0
37,A49,2017/2018,7,3,31984,Feminino,Portugal,Portugal,Formação Desconhecida,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,5.0,5.0,4.0,0.0,6.0,5.0,32.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,38.0,0.015957446808510637,0.06048387096774194,0.02403846153846154,0.02403846153846154,0.031914893617021274,0.0,0.02406417112299465,0.02403846153846154,0.2045357671316531,0.0,0.024193548387096774,0.004807692307692308,0.0,0.007978723404255319,0.0,0.004010695187165776,0.004807692307692308,0.045798351593902484,0.2503341187255556,Porto,0,0
38,A49,2017/2018,7,3,52010,Masculino,Portugal,Portugal,Licenciatura,Porto,4.0,3.0,5.0,3.0,5.0,4.0,3.0,5,3.25,4.0,5,4.0,5.0,4.0,5.0,5.0,4.0,3.4000000000000004,5,4.0,4.0,5,4.0,5.0,5.0,3.5,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.007978723404255319,0.0,0.0,0.0,0.0,0.0,0.020053475935828877,0.004807692307692308,0.0328398916477765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328398916477765,Porto,0,0
39,A49,2017/2018,7,2,91984,Masculino,Portugal,Portugal,Secundário,Porto,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.5,4.45,4.0,5.0,3.0,3.0,5.0,4.0,4.5,4.5,4.7,4.0,5.0,4.0,4.0,5.0,3.0,4.5,4.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0,6.0,8.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.015957446808510637,0.012096774193548387,0.03365384615384615,0.009615384615384616,0.0,0.047872340425531915,0.03208556149732621,0.004807692307692308,0.1560890460018402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560890460018402,Porto,0,0
40,A49,2017/2018,7,3,72020,Feminino,Portugal,Portugal,Licenciatura,Porto,4.0,5.0,5.0,2.0,3.0,4.0,2.0,3.5,2.45,5.0,4.0,4.0,2.0,4.0,2.0,2.5,4.5,4.7,5.0,5.0,5.0,4.0,4.0,4.5,4.0,4.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.015957446808510637,0.008021390374331552,0.004807692307692308,0.033594221798226805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033594221798226805,Porto,0,0
41,A49,2017/2018,7,1,31973,Feminino,Portugal,Portugal,Secundário,Porto,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Porto,0,0
42,A49,2017/2018,7,3,121999,Masculino,Portugal,Portugal,Secundário,Porto,4.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,4.8,3.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,3.8,4.0,3.0,5.0,4.0,4.0,3.5,5.0,4.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548387,0.012096774193548387,Porto,0,0
43,A49,2017/2018,7,2,71981,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,3.0,2.0,4.0,4.0,2.0,2.0,1.5,1.5,2.7,1.0,2.0,2.0,3.0,3.0,4.0,3.5,1.5,3.5,4.0,3.0,3.0,2.0,3.0,2.0,2.5,2.0,2.85,0.3,0.4,0.18181818181818182,0.0,0.375,0.5,0.375,0.5,0.1111111111111111,5.0,7.0,6.0,4.0,7.0,6.0,12.0,7.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,57.0,0.0398936170212766,0.0846774193548387,0.028846153846153848,0.019230769230769232,0.05585106382978723,0.047872340425531915,0.0481283422459893,0.03365384615384615,0.358153552108193,0.007978723404255319,0.0,0.0,0.0,0.0,0.0,0.008021390374331552,0.0,0.016000113778586872,0.3741536658867799,Porto,0,0
44,A49,2017/2018,7,2,62006,Feminino,Portugal,Portugal,Básico (1º ciclo),Porto,3.0,2.0,2.0,1.0,3.0,3.0,,,2.625,2.0,2.0,3.0,3.0,4.0,4.0,,,2.875,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,3.1,0.3333333333333333,0.16666666666666666,0.0,0.5,0.25,0.5,0.0,0.0,0.0,9.0,10.0,19.0,22.0,13.0,16.0,24.0,18.0,131.0,2.0,6.0,9.0,16.0,5.0,0.0,9.0,7.0,54.0,185.0,0.07180851063829788,0.12096774193548387,0.09134615384615384,0.10576923076923077,0.10372340425531915,0.1276595744680851,0.0962566844919786,0.08653846153846154,0.8040697619430108,0.015957446808510637,0.07258064516129033,0.04326923076923077,0.07692307692307693,0.0398936170212766,0.0,0.03609625668449198,0.03365384615384615,0.3183741195217234,1.1224438814647342,Porto,0,0
45,A49,2017/2018,7,1,52009,Masculino,Portugal,Portugal,Licenciatura,Porto,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.3,3.0,1.0,2.0,2.0,3.0,3.0,3.5,2.0,3.25,2.0,1.0,0,1.0,3.0,3.5,3.5,1.0,2.2,0.8,0.8,0.7272727272727273,1.0,0.75,1.0,0.75,1.0,0.6666666666666666,1.0,4.0,3.0,8.0,0.0,2.0,4.0,1.0,23.0,2.0,5.0,8.0,8.0,0.0,0.0,5.0,3.0,31.0,54.0,0.007978723404255319,0.04838709677419355,0.014423076923076924,0.038461538461538464,0.0,0.015957446808510637,0.016042780748663103,0.004807692307692308,0.1460583554279303,0.015957446808510637,0.06048387096774194,0.038461538461538464,0.038461538461538464,0.0,0.0,0.020053475935828877,0.014423076923076924,0.1878409475582353,0.3338993029861656,Porto,0,0
46,A49,2017/2018,7,3,52023,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,2.0,4.0,3.0,1.0,5.0,2.0,2.5,2.0,3.25,4.0,4.0,4.0,1.0,5.0,3.0,4.0,3.0,4.1,2.0,4.0,3.0,3.0,5.0,3.5,4.0,2.0,3.15,0.1,0.1,0.09090909090909091,0.5,0.0,0.5,0.0,0.5,0.0,1.0,2.0,7.0,1.0,4.0,3.0,6.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.007978723404255319,0.024193548387096774,0.03365384615384615,0.004807692307692308,0.031914893617021274,0.023936170212765957,0.02406417112299465,0.03365384615384615,0.1842028913595186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1842028913595186,Porto,0,0
47,A49,2017/2018,7,3,82033,Feminino,Portugal,Portugal,Secundário,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,30.0,39.0,25.0,16.0,23.0,36.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015957446808510637,0.2056451612903226,0.14423076923076922,0.1875,0.19946808510638298,0.1276595744680851,0.09224598930481283,0.17307692307692307,1.1457839492858064,1.1457839492858064,Porto,0,0
48,A49,2017/2018,7,1,92017,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,2.0,3.0,3.0,3.0,1.0,4.0,,,2.375,2.0,4.0,2.0,2.0,3.0,2.0,,,1.375,1.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.6,0.6666666666666666,0.6666666666666666,0.36363636363636365,1.0,0.5,1.0,0.5,1.0,0.2222222222222222,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,5.0,9.0,15.0,15.0,9.0,6.0,21.0,15.0,95.0,102.0,0.007978723404255319,0.024193548387096774,0.0,0.0,0.015957446808510637,0.007978723404255319,0.004010695187165776,0.0,0.060119137191283825,0.0398936170212766,0.10887096774193548,0.07211538461538461,0.07211538461538461,0.07180851063829788,0.047872340425531915,0.08422459893048129,0.07211538461538461,0.569016188603677,0.6291353257949608,Porto,0,0
49,A49,2017/2018,7,3,32022,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,3.0,5.0,4.0,3.0,3.0,5.0,,,2.0,4.0,5.0,4.0,4.0,3.0,4.0,,,4.25,2.0,5.0,4.0,2.0,3.0,5,2.5,3.0,3.55,0.3333333333333333,0.16666666666666666,0.09090909090909091,0.5,0.25,0.0,0.25,0.0,0.1111111111111111,8.0,16.0,14.0,15.0,26.0,6.0,30.0,14.0,129.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,3.0,12.0,141.0,0.06382978723404255,0.1935483870967742,0.0673076923076923,0.07211538461538461,0.2074468085106383,0.047872340425531915,0.12032085561497326,0.0673076923076923,0.8397489481127294,0.0,0.036290322580645164,0.004807692307692308,0.0,0.023936170212765957,0.0,0.008021390374331552,0.014423076923076924,0.08747865239851191,0.9272276005112413,Porto,0,0
50,A49,2017/2018,7,3,82026,Masculino,Portugal,Ucrânia,Secundário,Porto,4.0,5.0,1.0,2.0,5.0,3.0,3.5,1.5,3.1,4.0,4.0,1.0,3.0,4.0,4.0,3.5,1.0,2.95,2.0,5.0,4.0,3.0,5,3.0,2.0,4.0,3.3,0.4,0.4,0.0,1.0,0.25,0.5,0.375,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.007978723404255319,0.012096774193548387,0.009615384615384616,0.009615384615384616,0.0,0.0,0.020053475935828877,0.004807692307692308,0.06416743507209413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06416743507209413,Porto,0,0
51,A49,2017/2018,7,2,52003,Masculino,Portugal,Portugal,Secundário,Porto,5.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,4.7,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.8,4.0,4.0,3.0,2.0,2.0,5.0,5.0,4.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,4.0,8.0,6.0,1.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,34.0,0.031914893617021274,0.012096774193548387,0.038461538461538464,0.0,0.031914893617021274,0.06382978723404255,0.02406417112299465,0.004807692307692308,0.20708975055385892,0.0,0.012096774193548387,0.0,0.0,0.007978723404255319,0.0,0.0,0.0,0.020075497597803707,0.2271652481516626,Porto,0,0
52,A49,2017/2018,7,2,82007,Feminino,Portugal,Portugal,Secundário,Porto,3.0,3.0,3.0,3.0,4.0,4.0,3.5,4.0,3.75,4.0,4.0,3.0,5.0,4.0,3.0,3.5,5.0,2.85,4.0,3.0,3.0,5.0,4.0,5.0,5.0,3.5,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.024193548387096774,0.009615384615384616,0.0,0.007978723404255319,0.0,0.004010695187165776,0.004807692307692308,0.05060604390159479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05060604390159479,Porto,0,0
53,A49,2017/2018,7,1,92009,Masculino,Portugal,Portugal,Básico (2º ciclo),Porto,1.0,2.0,2.0,3.0,3.0,2.0,,,3.5,1.0,3.0,4.0,1.0,4.0,4.0,,,3.5,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.7,0.5,0.3333333333333333,0.18181818181818182,0.5,0.5,0.5,0.25,0.5,0.1111111111111111,3.0,5.0,7.0,7.0,7.0,10.0,7.0,7.0,53.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,55.0,0.023936170212765957,0.06048387096774194,0.03365384615384615,0.03365384615384615,0.05585106382978723,0.0797872340425532,0.02807486631016043,0.03365384615384615,0.3490947438245472,0.0,0.0,0.0,0.0,0.0,0.015957446808510637,0.0,0.0,0.015957446808510637,0.3650521906330578,Porto,0,0
54,A49,2017/2018,7,3,92006,Masculino,Portugal,Portugal,Licenciatura,Porto,4.0,5.0,4.0,5,5.0,5.0,5,4.0,4.65,5.0,5.0,5.0,5.0,4.0,4.0,5,3.5,3.8499999999999996,4.0,4.0,5,5,5.0,4.0,4.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.012096774193548387,0.02403846153846154,0.004807692307692308,0.0,0.0,0.008021390374331552,0.0,0.048964318414033786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048964318414033786,Porto,0,0
55,A49,2017/2018,7,1,81976,Masculino,Portugal,Portugal,Formação Desconhecida,Porto,2.0,2.0,3.0,4.0,1.0,5.0,,,2.625,2.0,4.0,1.0,3.0,1.0,3.0,,,3.5,4.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.3,0.5,0.5,0.09090909090909091,0.5,0.5,0.5,0.5,0.0,0.1111111111111111,10.0,20.0,20.0,17.0,22.0,4.0,46.0,27.0,166.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,10.0,176.0,0.0797872340425532,0.24193548387096775,0.09615384615384616,0.08173076923076923,0.17553191489361702,0.031914893617021274,0.18449197860962566,0.12980769230769232,1.0213538127260926,0.0,0.012096774193548387,0.0,0.0,0.007978723404255319,0.015957446808510637,0.016042780748663103,0.009615384615384616,0.06169110977036206,1.0830449224964547,Porto,0,0
56,A49,2017/2018,7,3,111978,Masculino,Portugal,Portugal,Licenciatura,Porto,2.0,5.0,2.0,3.0,5.0,3.0,3.0,4.0,3.7,3.0,4.0,2.0,4.0,5.0,5,4.0,3.5,2.85,2.0,4.0,3.0,2.0,5,5,4.0,4.5,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.007978723404255319,0.024193548387096774,0.004807692307692308,0.009615384615384616,0.0,0.0,0.012032085561497326,0.004807692307692308,0.06343512658361865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06343512658361865,Porto,0,0
57,A49,2017/2018,7,2,82031,Feminino,Portugal,Portugal,Básico (1º ciclo),Porto,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.95,3.0,2.0,2.0,3.0,3.0,4.0,3.5,4.0,1.65,2.0,3.0,3.0,2.0,2.0,2.5,4.0,4.0,2.75,0.1,0.3,0.18181818181818182,0.5,0.0,0.5,0.25,0.5,0.1111111111111111,0.0,1.0,6.0,1.0,0.0,2.0,2.0,3.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.012096774193548387,0.028846153846153848,0.004807692307692308,0.0,0.015957446808510637,0.008021390374331552,0.014423076923076924,0.08415253445331367,0.0,0.012096774193548387,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.016904466501240695,0.10105700095455436,Porto,0,0
58,A49,2017/2018,7,3,31994,Feminino,Portugal,Portugal,Básico (2º ciclo),Porto,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,3.5,5.0,5.0,3.0,1.0,2.0,2.0,3.0,5.0,4.4,5.0,4.0,3.0,2.0,3.0,5.0,2.0,4.0,3.6,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.015957446808510637,0.0,0.008021390374331552,0.0,0.02397883718284219,0.0,0.0,0.0,0.0,0.007978723404255319,0.0,0.0,0.0,0.007978723404255319,0.031957560587097505,Porto,0,0
59,A49,2017/2018,7,1,81993,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,3.0,2.0,1.0,2.0,3.0,5.0,,,2.5,2.0,4.0,3.0,1.0,3.0,2.0,,,1.5,2.0,2.0,3.0,2.0,4.0,2.5,4.0,3.0,2.95,0.6666666666666666,0.5,0.18181818181818182,1.0,0.5,1.0,0.25,1.0,0.0,4.0,5.0,4.0,11.0,6.0,3.0,14.0,7.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.031914893617021274,0.06048387096774194,0.019230769230769232,0.052884615384615384,0.047872340425531915,0.023936170212765957,0.05614973262032086,0.03365384615384615,0.3261262386126127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261262386126127,Porto,0,0
60,A49,2017/2018,7,1,22002,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,,,,,4.0,,,,4.0,,,,,3.0,,,,4.0,,,,,2.0,,,,3.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.43882978723404253,0.0,0.0,0.0,0.43882978723404253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43882978723404253,Porto,0,0
61,A49,2017/2018,7,1,12022,Masculino,Portugal,Portugal,Secundário,Porto,5.0,5,4.0,4.0,4.0,4.0,4.0,5,4.5,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.5,5.0,5.0,5.0,5,3.0,5,4.0,5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.012096774193548387,0.004807692307692308,0.004807692307692308,0.007978723404255319,0.0,0.0,0.0,0.029690882213188323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029690882213188323,Porto,0,0
62,A49,2017/2018,7,3,61976,Feminino,Portugal,Portugal,Licenciatura,Porto,4.0,5.0,3.0,4.0,4.0,5,3.5,3.0,3.95,4.0,3.0,2.0,4.0,4.0,5,3.5,4.0,4.95,5.0,5,5.0,5.0,4.0,5,4.0,4.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.024193548387096774,0.009615384615384616,0.0,0.0,0.0,0.008021390374331552,0.0,0.041830323376812945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041830323376812945,Porto,0,0
63,A49,2017/2018,7,3,52006,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,2.0,3.0,1.0,1.0,4.0,5.0,4.0,4.5,2.95,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.5,2.0,3.0,5.0,2.0,1.0,5.0,4.0,4.0,2.5,3.35,0.3,0.2,0.09090909090909091,1.0,0.125,0.5,0.125,0.5,0.0,2.0,5.0,6.0,8.0,3.0,1.0,6.0,7.0,38.0,1.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,22.0,60.0,0.015957446808510637,0.06048387096774194,0.028846153846153848,0.038461538461538464,0.023936170212765957,0.007978723404255319,0.02406417112299465,0.03365384615384615,0.23338192097780697,0.007978723404255319,0.024193548387096774,0.02403846153846154,0.004807692307692308,0.023936170212765957,0.015957446808510637,0.020053475935828877,0.014423076923076924,0.13538859551768834,0.3687705164954953,Porto,0,0
